iter	Accuracy	MultiClass
818	1	-0.01071284224
819	1	-0.01068811915
820	1	-0.01064051319
821	1	-0.01061338431
822	1	-0.01057286013
823	1	-0.01053407716
824	1	-0.01048993034
825	1	-0.01046156667
826	1	-0.01042421853
827	1	-0.01038606424
828	1	-0.01035701207
829	1	-0.01032594222
830	1	-0.01029099122
831	1	-0.01025683772
832	1	-0.01022390505
833	1	-0.01019218724
834	1	-0.01015212893
835	1	-0.01012228657
836	1	-0.01007948354
837	1	-0.01005332096
838	1	-0.01001025609
839	1	-0.009962812284
840	1	-0.009924339002
841	1	-0.009895307428
842	1	-0.009857593762
843	1	-0.009831406597
844	1	-0.009798860051
845	1	-0.009759956785
846	1	-0.009730255978
847	1	-0.009698372685
848	1	-0.009661476454
849	1	-0.009630713646
850	1	-0.00960624841
851	1	-0.009572600654
852	1	-0.009530739336
853	1	-0.009502858817
854	1	-0.009479432322
855	1	-0.009451868144
856	1	-0.009423105725
857	1	-0.009393601634
858	1	-0.009362007434
859	1	-0.009333053615
860	1	-0.009300869932
861	1	-0.009272915644
862	1	-0.00925087746
863	1	-0.00921590187
864	1	-0.009190598598
865	1	-0.009168479999
866	1	-0.009139362029
867	1	-0.009107606336
868	1	-0.009080032854
869	1	-0.009052751122
870	1	-0.0090290043
871	1	-0.008989189228
872	1	-0.008953459338
873	1	-0.008912117722
874	1	-0.008880072936
875	1	-0.008860471772
876	1	-0.008831176359
877	1	-0.008807354439
878	1	-0.008783046709
879	1	-0.008759252701
880	1	-0.008735509866
881	1	-0.008694862073
882	1	-0.008655299542
883	1	-0.008621699636
884	1	-0.008599746518
885	1	-0.00856084591
886	1	-0.008536878446
887	1	-0.008517128416
888	1	-0.00848415521
889	1	-0.00846369009
890	1	-0.008439529233
891	1	-0.008416143278
892	1	-0.008395906109
893	1	-0.008363314373
894	1	-0.008332917084
895	1	-0.00831121983
896	1	-0.008278043926
897	1	-0.008256014382
898	1	-0.008227975692
899	1	-0.008206454553
900	1	-0.008190416874
901	1	-0.008164641085
902	1	-0.008145330343
903	1	-0.008128160217
904	1	-0.008114559559
905	1	-0.008071179008
906	1	-0.00805212413
907	1	-0.0080320551
908	1	-0.008013755852
909	1	-0.007984443824
910	1	-0.007962857555
911	1	-0.007940231217
912	1	-0.007912853121
913	1	-0.007885641836
914	1	-0.007861195209
915	1	-0.007842939158
916	1	-0.007823385179
917	1	-0.00780422862
918	1	-0.007773996812
919	1	-0.007744829663
920	1	-0.007724188429
921	1	-0.007697889614
922	1	-0.007670744122
923	1	-0.007644700506
924	1	-0.007623958255
925	1	-0.007596752286
926	1	-0.007573313165
927	1	-0.007553836278
928	1	-0.007524606658
929	1	-0.007498493926
930	1	-0.007477680565
931	1	-0.007459649807
932	1	-0.007441803138
933	1	-0.00742675768
934	1	-0.007412539625
935	1	-0.007390936077
936	1	-0.007370252975
937	1	-0.007358126358
938	1	-0.007340421245
939	1	-0.00732367047
940	1	-0.007302541434
941	1	-0.007282798714
942	1	-0.007267571825
943	1	-0.007244120741
944	1	-0.007221796122
945	1	-0.007204393393
946	1	-0.007182373818
947	1	-0.007162455648
948	1	-0.007137819616
949	1	-0.00711424359
950	1	-0.007091980113
951	1	-0.007063858351
952	1	-0.007047279039
953	1	-0.007027308368
954	1	-0.007006025148
955	1	-0.00697887301
956	1	-0.006957279431
957	1	-0.006929927919
958	1	-0.006912353064
959	1	-0.006894868592
960	1	-0.006875947959
961	1	-0.006859560711
962	1	-0.006838369868
963	1	-0.006815265695
964	1	-0.006798740879
965	1	-0.006779224781
966	1	-0.006764522911
967	1	-0.006741705173
968	1	-0.006728227463
969	1	-0.006701450149
970	1	-0.006680921229
971	1	-0.006661490862
972	1	-0.006641893021
973	1	-0.006628214607
974	1	-0.006609052067
975	1	-0.006591186789
976	1	-0.006575642895
977	1	-0.006555543959
978	1	-0.00653970632
979	1	-0.006524373098
980	1	-0.006507874864
981	1	-0.006494265566
982	1	-0.006478394033
983	1	-0.006451253193
984	1	-0.00643139683
985	1	-0.006413653171
986	1	-0.006395560607
987	1	-0.006367378368
988	1	-0.006356155582
989	1	-0.006343956525
990	1	-0.006324027058
991	1	-0.006310598526
992	1	-0.006292264054
993	1	-0.006273988066
994	1	-0.006264693895
995	1	-0.006248747264
996	1	-0.006231922721
997	1	-0.00621257144
998	1	-0.006196846115
999	1	-0.00618465304
